isbn,authors,original_publication_year,title,language_code,average_rating,ratings_count,work_ratings_count,work_text_reviews_count,to_read_count,author_nationality,age_group,main_genre,sale price,avg_sale_price
439023483,Suzanne Collins,2008,"The Hunger Games (The Hunger Games, #1)",eng,4.34,4780653,4942365,155254,,American,Young Adult,fantasy,,4.094285714285714
439554934,"J.K. Rowling, Mary GrandPré",1997,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",eng,4.44,4602479,4800065,75867,287.0,British,Children,fantasy,,4.927173913043478
316015849,Stephenie Meyer,2005,"Twilight (Twilight, #1)",eng,3.57,3866839,3916824,95009,,American,Young Adult,fantasy,,4.094285714285714
61120081,Harper Lee,1960,To Kill a Mockingbird,eng,4.25,3198671,3340896,72586,50.0,American,Children,thriller,,4.8025
743273567,F. Scott Fitzgerald,1925,The Great Gatsby,eng,3.89,2683664,2773745,51992,48.0,American,Young Adult,romance,,4.6415094339622645
525478817,John Green,2012,The Fault in Our Stars,eng,4.26,2346404,2478609,140739,,American,Young Adult,romance,,4.6415094339622645
316769177,J.D. Salinger,1951,The Catcher in the Rye,eng,3.79,2044241,2120637,44920,43.0,American,Young Adult,historical,,4.66
1416524797,Dan Brown,2000,"Angels & Demons  (Robert Langdon, #1)",en-CA,3.85,2001311,2078754,25112,166.0,American,Adult,fantasy,,4.827571428571429
1594480001,Khaled Hosseini,2003,The Kite Runner,eng,4.26,1813044,1878095,59730,,American,Young Adult,historical,,4.66
62024035,Veronica Roth,2011,"Divergent (Divergent, #1)",eng,4.24,1903563,2216814,101023,,American,Young Adult,fantasy,,4.094285714285714
451524934,"George Orwell, Erich Fromm, Celâl Üster",1949,1984,eng,4.14,1956832,2053394,45518,26.0,American,Young Adult,fantasy,,4.094285714285714
553296981,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947,The Diary of a Young Girl,eng,4.1,1972666,2024493,20825,,German,Children,historical,,4.238181818181818
307269752,"Stieg Larsson, Reg Keeland",2005,"The Girl with the Dragon Tattoo (Millennium, #1)",eng,4.11,1808403,1929834,62543,,Swedish,Adult,thriller,,5.038157894736842
439023491,Suzanne Collins,2009,"Catching Fire (The Hunger Games, #2)",eng,4.3,1831039,1988079,88538,,American,Young Adult,fantasy,,4.094285714285714
043965548X,"J.K. Rowling, Mary GrandPré, Rufus Beck",1999,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",eng,4.53,1832823,1969375,36099,1293.0,British,Children,fantasy,,4.927173913043478
439023513,Suzanne Collins,2010,"Mockingjay (The Hunger Games, #3)",eng,4.03,1719760,1870748,96274,,American,Young Adult,fantasy,,4.094285714285714
439358078,"J.K. Rowling, Mary GrandPré",2003,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",eng,4.46,1735368,1840548,28685,400.0,British,Children,fantasy,,4.927173913043478
316166685,Alice Sebold,2002,The Lovely Bones,eng,3.77,1605173,1661562,36642,,American,Young Adult,fantasy,,4.094285714285714
439064864,"J.K. Rowling, Mary GrandPré",1998,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",eng,4.37,1779331,1906199,34172,,British,Children,fantasy,,4.927173913043478
439139600,"J.K. Rowling, Mary GrandPré",2000,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",eng,4.53,1753043,1868642,31084,1484.0,British,Children,fantasy,,4.927173913043478
545010225,"J.K. Rowling, Mary GrandPré",2007,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",eng,4.61,1746574,1847395,51942,,British,Children,fantasy,,4.927173913043478
307277674,Dan Brown,2003,"The Da Vinci Code (Robert Langdon, #2)",eng,3.79,1447148,1557292,41560,372.0,American,Adult,fantasy,,4.827571428571429
439785960,"J.K. Rowling, Mary GrandPré",2005,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",eng,4.54,1678823,1785676,27520,973.0,British,Children,fantasy,,4.927173913043478
140283331,William Golding,1954,Lord of the Flies,eng,3.64,1605019,1671484,26886,15.0,British,Children,fantasy,,4.927173913043478
297859382,Gillian Flynn,2012,Gone Girl,eng,4.03,512475,1626519,121614,,American,Adult,romance,,4.530333333333333
399155341,Kathryn Stockett,2009,The Help,eng,4.45,1531753,1603545,78204,,American,Young Adult,historical,,4.66
142000671,John Steinbeck,1937,Of Mice and Men,eng,3.84,1467496,1518741,24642,93.0,American,Children,historical,,4.238181818181818
739326228,Arthur Golden,1997,Memoirs of a Geisha,eng,4.08,1300209,1418172,25605,213.0,American,Young Adult,romance,,4.6415094339622645
1612130291,E.L. James,2011,"Fifty Shades of Grey (Fifty Shades, #1)",eng,3.67,1338493,1436818,75437,,British,Young Adult,romance,,4.6415094339622645
61122416,"Paulo Coelho, Alan R. Clarke",1988,The Alchemist,eng,3.82,1299566,1403995,55781,73.0,Brazilian,Young Adult,fantasy,,4.094285714285714
385732554,Lois Lowry,1993,"The Giver (The Giver, #1)",eng,4.12,1296825,1345445,54084,32.0,American,Children,fantasy,,4.927173913043478
60764899,C.S. Lewis,1950,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",eng,4.19,1531800,1584884,15186,,British,Children,fantasy,,4.927173913043478
965818675,Audrey Niffenegger,2003,The Time Traveler's Wife,eng,3.95,746287,1308667,43382,,American,Adult,fantasy,,4.827571428571429
553588486,George R.R. Martin,1996,"A Game of Thrones (A Song of Ice and Fire, #1)",eng,4.45,1319204,1442220,46205,,American,Adult,fantasy,,4.827571428571429
