isbn,authors,original_publication_year,title,language_code,average_rating,ratings_count,work_ratings_count,work_text_reviews_count,to_read_count,author_nationality,age_group,main_genre,sale price,avg_sale_price,score_rating,score_recency,score_pricing,score_final
1250058902,Brandon Stanton,2015,Humans of New York: Stories,eng,4.5,12527,12852,1210,0.0,American,Children,non-fiction,4.603953488372093,8.556666666666667,0.933609958506224,0.9904761904761905,1.0,0.9705868405453468
1250038820,Brandon Stanton,2013,Humans of New York,eng,4.5,12614,12865,1301,0.0,American,Children,non-fiction,4.603953488372093,8.556666666666667,0.933609958506224,0.9809523809523809,1.0,0.9677296976882039
811879542,"Hervé Tullet, Christopher Franceschelli",2010,Press Here,eng,4.44,15315,15459,1481,0.0,French,Children,non-fiction,4.603953488372093,8.556666666666667,0.9211618257261411,0.9666666666666667,1.0,0.9584647302904565
803741715,B.J. Novak,2014,The Book with No Pictures,eng,4.34,13984,14548,2277,0.0,American,Children,non-fiction,4.603953488372093,8.556666666666667,0.900414937759336,0.9857142857142858,1.0,0.9558802608180201
545540607,Raina Telgemeier,2014,Sisters,eng,4.29,23347,29031,3290,0.0,American,Children,non-fiction,4.603953488372093,8.556666666666667,0.8900414937759336,0.9857142857142858,1.0,0.9517308832246592
743236718,Andrew Solomon,2012,"Far from the Tree: Parents, Children, and the Search for Identity",eng,4.26,11879,13240,1875,0.0,American,Children,non-fiction,4.603953488372093,8.556666666666667,0.883817427385892,0.9761904761904762,1.0,0.9463841138114997
1617750255,"Adam Mansbach, Ricardo Cortés",2011,Go the Fuck to Sleep,eng,4.26,71816,74744,3235,0.0,American,Children,non-fiction,4.603953488372093,8.556666666666667,0.883817427385892,0.9714285714285714,1.0,0.9449555423829283
811874559,"Avery Monsen, Jory John",2010,All My Friends Are Dead,eng,4.24,19423,20096,1216,0.0,American,Children,non-fiction,4.603953488372093,8.556666666666667,0.8796680497925311,0.9666666666666667,1.0,0.9418672199170124
1419710206,"Cece Bell, David Lasky",2014,El Deafo,eng,4.13,27630,29262,3677,0.0,American,Children,non-fiction,4.603953488372093,8.556666666666667,0.8568464730290456,0.9857142857142858,1.0,0.938452874925904
545132053,Raina Telgemeier,2009,Smile,eng,4.19,98628,102804,6516,0.0,American,Children,non-fiction,9.59,8.556666666666667,0.8692946058091287,0.9619047619047619,1.0,0.9362892708950801
810996162,Jeff Kinney,2010,The Wimpy Kid Movie Diary (Diary of a Wimpy Kid),eng,4.16,15956,16210,399,0.0,American,Children,non-fiction,4.603953488372093,8.556666666666667,0.8630705394190871,0.9666666666666667,1.0,0.9352282157676348
316013684,"Sherman Alexie, Ellen Forney",2007,The Absolutely True Diary of a Part-Time Indian,eng,4.11,160607,171492,18988,0.0,American,Children,non-fiction,6.49,8.556666666666667,0.8526970954356846,0.9523809523809523,1.0,0.9267931238885596
1439192812,"Richard Dawkins, Dave McKean",2011,The Magic of Reality: How We Know What's Really True,eng,4.04,14511,17067,1228,0.0,British,Children,fantasy,4.67467741935484,8.556666666666667,0.8381742738589211,0.9714285714285714,1.0,0.9266982809721398
393068579,David Small,2009,Stitches,eng,4.03,17589,18778,2540,0.0,American,Children,horror,2.99,8.556666666666667,0.8360995850622407,0.9619047619047619,1.0,0.9230112625963249
1569242739,"Isa Chandra Moskowitz, Terry Hope Romero, Sara Quin",2006,Vegan Cupcakes Take Over the World: 75 Dairy-Free Recipes for Cupcakes that Rule,eng,4.08,11509,11543,339,0.0,American,Children,non-fiction,4.603953488372093,8.556666666666667,0.8464730290456431,0.9476190476190476,1.0,0.9228749259039715
849946158,"Todd Burpo, Lynn Vincent",2010,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,eng,4.01,228371,243018,14378,0.0,American,Children,non-fiction,4.603953488372093,8.556666666666667,0.8319502074688796,0.9666666666666667,1.0,0.9227800829875519
307394549,"Martha Stewart, Victor Schrager",2008,Martha Stewart's Cookies: The Very Best Treats to Bake and to Share,eng,4.04,13991,14019,182,0.0,American,Children,non-fiction,4.603953488372093,8.556666666666667,0.8381742738589211,0.9571428571428572,1.0,0.9224125666864256
446504122,"Po Bronson, Ashley Merryman",2008,NurtureShock: New Thinking About Children,eng,4.04,17310,20054,2789,0.0,American,Children,non-fiction,4.603953488372093,8.556666666666667,0.8381742738589211,0.9571428571428572,1.0,0.9224125666864256
449010880,"Pamela Druckerman, Abby Craden",2012,Bringing Up Bébé: One American Mother Discovers the Wisdom of French Parenting,eng,3.95,18276,29616,3863,0.0,American,Children,non-fiction,4.603953488372093,8.556666666666667,0.8195020746887967,0.9761904761904762,1.0,0.9206579727326616
618683356,David Sheff,2007,Beautiful Boy: A Father's Journey Through His Son's Addiction,eng,4.03,36682,38205,3325,0.0,American,Children,non-fiction,4.603953488372093,8.556666666666667,0.8360995850622407,0.9523809523809523,1.0,0.920154119739182
679747656,Julia Child,1989,The Way to Cook,eng,4.31,11500,11656,102,0.0,American,Children,non-fiction,4.603953488372093,8.556666666666667,0.8941908713692944,0.8666666666666667,1.0,0.9176763485477177
547564651,Paul Tough,2012,"How Children Succeed: Grit, Curiosity, and the Hidden Power of Character",eng,3.91,16402,18145,1947,0.0,American,Children,non-fiction,4.603953488372093,8.556666666666667,0.8112033195020747,0.9761904761904762,1.0,0.9173384706579728
1455525898,"Douglas Preston, Lincoln Child",2014,"Blue Labyrinth (Pendergast, #14)",eng,4.11,9184,12665,1260,0.0,American,Children,thriller,5.154090909090909,7.99,0.8526970954356846,0.9857142857142858,0.9337748344370861,0.9169255742196853
152024174,Roland Smith,2007,Peak (Peak #1),eng,3.98,13314,14027,2024,0.0,American,Children,non-fiction,4.603953488372093,8.556666666666667,0.8257261410788381,0.9523809523809523,1.0,0.9160047421458211
1400079098,Anne Lamott,1993,Operating Instructions: A Journal of My Son's First Year,eng,4.18,19466,20063,1631,0.0,American,Children,non-fiction,4.603953488372093,8.556666666666667,0.867219917012448,0.8857142857142857,1.0,0.912602252519265
1582433542,Julia Scheeres,2005,Jesus Land,eng,3.97,13562,14456,1449,0.0,Indian,Children,non-fiction,4.603953488372093,8.556666666666667,0.8236514522821576,0.9428571428571428,1.0,0.912317723770006
1455525839,"Douglas Preston, Lincoln Child",2013,"White Fire (Pendergast, #13)",eng,4.07,12277,16014,1803,0.0,American,Children,thriller,5.154090909090909,7.99,0.8443983402489627,0.9809523809523809,0.9337748344370861,0.9121775007164252
307354164,Martha Stewart,2007,Everyday Food: Great Food Fast,eng,3.93,11969,11973,145,0.0,American,Children,non-fiction,4.603953488372093,8.556666666666667,0.8153526970954357,0.9523809523809523,1.0,0.9118553645524601
034542705X,"Monty Roberts, Lucy Grealy, Lawrence Scanlan",1997,The Man Who Listens to Horses,eng,4.1,9021,9513,221,26.0,American,Children,non-fiction,4.603953488372093,8.556666666666667,0.850622406639004,0.9047619047619048,1.0,0.911677534084173
446554960,"Douglas Preston, Lincoln Child",2010,"Fever Dream (Pendergast, #10)",eng,4.09,21634,24196,1338,0.0,American,Children,thriller,5.154090909090909,7.99,0.8485477178423235,0.9666666666666667,0.9337748344370861,0.9095515374680552
